,void,onDestroy,cleanup,dispatchTimeChanged,setup,applyFrozenState,onRestoreInstanceState,setMenu,setStyle,invalidateCache,mutate,animate,clearMutated,setCurrentIndex,onAnimationsEnded,findExpandedIndex,applySupportBackgroundTint,loadFromAttributes,onSetBackgroundDrawable,onSetBackgroundResource,setInternalBackgroundTint,setSupportBackgroundTintList,setSupportBackgroundTintMode,applyButtonTint,onSetButtonDrawable,setSupportButtonTintList,setSupportButtonTintMode,applySupportImageTint,setInternalImageTint,setSupportImageTintList,setSupportImageTintMode,applyCompoundDrawablesTints,autoSizeText,v0_0,v0_1,onAsyncTypefaceReceived,onLayout,onSetTextAppearance,setAllCaps,setAutoSizeTextTypeUniformWithConfiguration,setAutoSizeTextTypeUniformWithPresetSizes,setAutoSizeTextTypeWithDefaults,setTextSize,setTextSizeInternal,setListSelectionHidden,onLongPress,drawDividersHorizontal,drawDividersVertical,drawHorizontalDivider,drawVerticalDivider,layoutHorizontal,layoutVertical,measureChildBeforeLayout,measureHorizontal,measureVertical,doAfterTextChanged,doBeforeTextChanged,ensureImeVisible,setThumbPosition,addChildrenForExpandedActionView,ensureCollapseButtonView,v0_2,v0_3,removeChildrenForExpandedActionView,v0,v1_1,hide,show,divideByAmount,invert,updateFromSystem,addSingleError,displayReadableRows,displaySystemInformations,minimizeGoal,clearStrengths,setRelativePositioning,addWidgetsToSet,updateUnresolvedWidgets,grow,v24_1,v24_2;,v24_3,applyToInternal,invalidateAnchor,resetChangedAfterNestedScroll,resetNestedScroll,resetTouchBehaviorTracking,setChangedAfterNestedScroll,setLastChildRect,setNestedScrollAccepted,ensureJobId,ensureProcessorRunningLocked,processorFinished,static,startSendingMessages,animateButtons,addCancellable,removeCancellable,setConstantState,v7_0,v7_1,onSetCompoundDrawables,setCompoundDrawableTintList,setCompoundDrawableTintMode,initTempTextPaint,different,fillStandard,setBounds,addKey,addKeys,buildBounds,buildPath,buildRect,buildRectangles,getDpDt,getPostLayoutDvDp,positionKeyframe,setEndState,setStartCurrentState,setStartState,v6,getTextBounds,copy,initFrom,apply,getBounds,getCenter,getRect,initCartesian,initPath,initScreen,setDpDt,setView,processScrollMove,processScrollUp,processTouchEvent,readFallback,setTransition,setupTouch,scrollMove,scrollUp,setDown,setUpTouchEvent,setRatio,setValue,v0_5,v0_37,v0_1;,v0_48,v0_61,v0_42,v0_50,v0_52;,v0_51,v0_68,v0_84,v0_87,v0_9,v0_6,v20_1,fillFromAttributeList,class,DgcFsawc,KUndcegG,v1,AslVSm,nFZazyheQt,setProcessListener,finish,postResultIfNotInvoked,iEyJmfef,iUKlgYmdD,i,a,e,c,f,j,s,w,x,h,b,F,faZtILEKmz,JfhrjZeq,v17_1,d,v2_1;,v2_4,g,L,n,r,k,l,v2_7,v2_0,A,B,C,D,E,G,H,o,p,q,t,u,v,y,z,v3_0,onRenderingStopped,m,install,remove,M,U,V,kNsrf,nvsrCpPNr,pTERd,yRgcvg,label
embedded_vectors_0,0.49992132,0.49984828,0.49998406,0.50003695,0.5000919,0.4999555,0.49979836,0.5000738,0.4999965,0.5000115,0.5000528,0.49994805,0.5000427,0.49988583,0.5000806,0.49977612,0.4999964,0.4999679,0.50018036,0.49992695,0.49993417,0.5000737,0.50003064,0.50003684,0.5000438,0.49995664,0.49984142,0.4999676,0.49998382,0.49987066,0.49986345,0.50014997,0.4999116,0.49986643,0.50011545,0.4998997,0.49998298,0.500051,0.5001014,0.5000889,0.49997792,0.49991164,0.49986416,0.49983016,0.4999967,0.4999816,0.4999592,0.50003827,0.4999887,0.5000485,0.5001315,0.49996445,0.50000966,0.50011027,0.500075,0.5000486,0.4999343,0.49977344,0.5000328,0.5001273,0.49986178,0.49989545,0.50015664,0.5000044,0.49990714,0.49992594,0.49994364,0.4999179,0.49997643,0.5000961,0.50014114,0.5000639,0.49976045,0.5000155,0.5001515,0.500057,0.49985355,0.49991736,0.49992603,0.4999164,0.49998617,0.49996272,0.50009775,0.49992183,0.49997178,0.4999084,0.49986053,0.5000268,0.50014246,0.50005853,0.49994865,0.49995854,0.4999335,0.49992302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embedded_vectors_1,0.4999678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49989036,0.49971,0.49984434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
embedded_vectors_10,0.5000932,0.50001085,0.5000125,0,0.49988428,0.5000608,0.5001455,0.49998763,0.50002134,0.5001067,0.5000496,0.50004756,0.49998066,0.4999461,0.50023913,0.5001148,0.50005364,0.4999948,0.5001428,0.49987102,0.50007665,0.49991587,0.49995938,0.49999714,0.49998596,0.5002794,0.5002164,0.5000529,0.50008917,0.5001404,0.50008523,0.49995774,0.5000435,0.5001552,0.5000608,0.50020355,0.50003123,0.49989644,0.50005376,0.5000464,0.49999157,0.5000911,0.49998063,0.5001028,0.5000614,0.49998927,0.49994642,0.5001339,0.49992937,0.5001272,0.50012314,0.49994418,0.4999524,0.49999788,0.49999788,0.50009406,0.4999994,0.5001501,0.5000311,0.5001817,0.5000129,0.50007224,0.50004345,0.50015163,0.50008005,0,0.5000487,0.50018513,0,0,0,0.49991226,0,0.50009155,0.49992433,0.5000624,0.5000826,0,0,0.49992597,0,0,0,0.5000427,0,0,0,0,0,0,0,0.5001507,0.50014055,0.49994028,0,0,0,0.49997267,0.4999016,0.49996993,0.49999076,0.49986255,0.49998376,0.50016236,0.5000402,0.5000284,0.50002366,0.50003207,0.5001164,0.5000087,0.50015986,0.5001687,0.5001496,0.5000899,0.5000489,0.4999716,0.4999579,0.5000659,0.49997613,0.5000477,0.4999913,0.5001534,0.500074,0.5001218,0.50009364,0.5000672,0.5000366,0.5002107,0.50009835,0.5001203,0.50023067,0.50013363,0.4999633,0.49994585,0.5002016,0.5000329,0.49992213,0.5001347,0.5000935,0.5000893,0.49992856,0.50014806,0.50000715,0.50010294,0.49996486,0.5001551,0.49994674,0.5000206,0.5000123,0.5002002,0.50017345,0.50004256,0.5000731,0.5001394,0.49995768,0.5001869,0.5001324,0.5001859,0.50008607,0.50006187,0.50008833,0.4998738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embedded_vectors_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49982068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49985853,0.49977708,0.5000442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
embedded_vectors_12,0.5001761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5003142,0,0,0,0,0.50004673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embedded_vectors_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50023985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5001856,0,0,0,0.50019825,0.5001823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
embedded_vectors_14,0.49998352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49978912,0.49986333,0.49988425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49985594,0.4998722,0.49992573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embedded_vectors_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5003867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5002267,0,0,0,0,0,0,0,0,0.500296,0.5001413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
embedded_vectors_16,0.49988267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49991167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50004697,0,0,0.49984694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49982938,0,0,0,0,0,0,0,0.49984685,0.49994186,0.4999232,0.50000226,0.5000446,0.50008,0.4998911,0.49998412,0.5000167,0.4997915,0.50008607,0.4999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embedded_vectors_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4999026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5000248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5000124,0.49993187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
embedded_vectors_18,0.5000287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50010866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embedded_vectors_2,0.50011057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4999926,0.49991384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4997529,0.49969912,0.5000042,0,0.49997804,0.4999765,0.49984685,0.49985886,0.50000125,0.49992558,0.49996307,0.4997359,0,0,0,0.49995983,0.50011873,0.5000458,0.49984223,0.49986365,0.4998921,0.49993634,0.49987072,0.5001228,0.49995145,0.4999775,0.50001025,0.49986088,0.50003564,0.49996805,0.5000445,0.499921,0.49986947,0.5001452,0.5000373,0.49983695,0.49998686,0.49982885,0.49990177,0.49982277,0.499829,0.5000877,0.49993113,0.500219,0.50007445,0.5001189,0.5000168,0.5000107,0.4998805,0,0,0,0,0
embedded_vectors_3,0.49995497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49998668,0.50008106,0.5000497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
embedded_vectors_4,0.49984774,0.500033,0.5000539,0,0.49996778,0.49997476,0.500046,0.50000656,0.5000393,0.50001764,0.49981335,0.4999869,0.499693,0.5000254,0.50002897,0.50004315,0.49979186,0.4998743,0.49992427,0.49992353,0.49999565,0.5001614,0.49997142,0.5001272,0.5000484,0.49978974,0.5000498,0.49992618,0.49994344,0.49990135,0.49994683,0.4998529,0.50001985,0.49985564,0.49981722,0,0.49998924,0.50000787,0.49982435,0.49991164,0.49987504,0.49974534,0.5000142,0.5001172,0.49986565,0.49983358,0.4999967,0.4998759,0.49988133,0.49984118,0.5000204,0.49982652,0.49982294,0.50010544,0.49995282,0.49990195,0.4998988,0.49997142,0.4999492,0.50002164,0.4998759,0.49994597,0.49992442,0.4999809,0.4999226,0.49977183,0.4998623,0.49999103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5001051,0.49998963,0.5000011,0,0,0,0.49987823,0.49988502,0.49996135,0.49995035,0.4999198,0.49976814,0.49978617,0.49995705,0.5000497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embedded_vectors_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50000614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50009876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49982437,0.50017023,0,0,1
embedded_vectors_6,0.500015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5000977,0,0,0,0,0.5000873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embedded_vectors_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50024414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5000909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50012034,0.5001212,1
embedded_vectors_8,0.49995223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50006175,0,0,0,0,0.50013363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embedded_vectors_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49984077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5000031,0.49995145,0.49994788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
